Project Name,Selected Models,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),Scope,Compliance Cost,Daily Data Volume (GB),Cost_Likert_1to7,Estimated_Cost_USD,New Risk
IBM Watson Retail Recs.,Naive Bayes'+Gaussian Mixture Model (GMM)+Autoencoder,auto+direct+indirect,descriptive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Department,Moderate,1.2,2,2151000,2.46
Facebook M (Virtual Asst.),Bayesian Network+Logistic Regression+Linear Regression,direct,assistive+predictive,numeric,semi-structured,semi-stable,low+medium,Department,Moderate,0.2,2,1301000,2.3
Microsoft Cortana,Hidden Markov Model (HMM)+Neural Radiance Fields (NeRF)+Autoencoder,auto+indirect,descriptive+predictive,audio+image,semi-structured,semi-stable,high+medium,Department,Low,20,2,2962000,3.09
Apple Face ID,One-Class SVM+Linear Regression+Random Forest,direct+indirect+opaque,descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Multi-site-National,Very-High,250,3,11788000,2.4
Amazon Prime Air,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Proof of Concept,Low,350,2,2683000,3.6
Lowe's Virtual Assistant,MuZero+Naive Bayes'+k-Means Clustering,auto+direct+indirect,descriptive+predictive,image+numeric+textual,semi-structured,semi-stable,high+low,Enterprise,Moderate,0.1,2,1828000,2.64
Bank of America 'Erica',Decision Tree+Principal Component Analysis (PCA)+Bayesian Network,direct+indirect,assistive+descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Enterprise,High,1.2,2,3246000,2.25
Samsung Bixby,Hidden Markov Model (HMM)+Autoencoder+Neural Radiance Fields (NeRF),auto+indirect,descriptive+predictive,audio+image,semi-structured,semi-stable,high+medium,Department,Low,20,2,2962000,3.09
Spotify Recommender Engine,Linear Regression+ARIMA+Principal Component Analysis (PCA),direct+indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Enterprise,Moderate,52.5,2,4008000,2.25
IBM Watson Assistant,Random Forest+One-Class SVM+k-Means Clustering,indirect+opaque,descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Enterprise,Moderate,0.2,2,1808000,2.53
Adobe Sensei Auto-Tagging,Autoencoder+Gaussian Mixture Model (GMM)+DBSCAN,auto+indirect,descriptive,image+numeric,semi-structured,semi-stable,medium,Department,Low,100,2,2913000,2.44
Amazon Echo Look,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Autoencoder,auto,descriptive+predictive,image,semi-structured,semi-stable,high+medium,Department,Low,100,2,3728000,3.13
Twitter Content Mod. AI,Gaussian Mixture Model (GMM)+Hidden Markov Model (HMM)+Autoencoder,auto+indirect,descriptive+predictive,audio+image+numeric,semi-structured,semi-stable,medium,Proof of Concept,Moderate,0.2,2,1301000,2.81
General Electric (GE),k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Department,High,1,2,2276000,1.87
BMW Manufacturing AI,YOLO (You Only Look Once)+Neural Radiance Fields (NeRF)+Hidden Markov Model (HMM),auto+indirect+opaque,descriptive+predictive,audio+image,semi-structured,semi-stable,high+medium,Department,Low,100,2,3728000,3.19
Siemens Supply Chain AI,Gaussian Mixture Model (GMM)+ARIMA+Linear Regression,direct+indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Department,Moderate,1,2,1638000,2.25
Airbus AI Design,k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Department,Moderate,2.5,2,1867000,1.87
Caterpillar,k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Department,Moderate,1,2,1638000,1.87
Ford,Gaussian Mixture Model (GMM)+DBSCAN+Principal Component Analysis (PCA),indirect,descriptive,image+numeric,semi-structured,semi-stable,medium,Department,Moderate,1.2,2,2151000,2.35
Boeing,k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Department,Moderate,2.5,2,1867000,1.87
EthonAI,Gaussian Mixture Model (GMM)+DBSCAN+Hidden Markov Model (HMM),indirect,descriptive+predictive,audio+image+numeric,semi-structured,semi-stable,medium,Proof of Concept,Moderate,101,2,3162000,2.72
Nanotronics,YOLO (You Only Look Once)+Gaussian Mixture Model (GMM)+Hidden Markov Model (HMM),indirect+opaque,descriptive+predictive,audio+image+numeric,semi-structured,semi-stable,medium,Department,Low,100,2,3162000,2.91
Redfin,k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Enterprise,Moderate,1,2,2276000,1.87
Opendoor,Random Forest+Decision Tree+Autoencoder,auto+direct+indirect,descriptive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Proof of Concept,Moderate,1,2,1509000,2.46
Skyline AI,Gaussian Mixture Model (GMM)+k-Nearest Neighbors (k-NN)+Decision Tree,direct+indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Proof of Concept,High,1,2,1638000,2.25
MagicBricks,Decision Tree+ARIMA+Linear Regression,direct,predictive,numeric,semi-structured,semi-stable,low,Proof of Concept,High,1.2,2,1681000,2.27
REX Real Estate,Gaussian Mixture Model (GMM)+Principal Component Analysis (PCA)+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Enterprise,Moderate,1,2,2276000,2.05
Neara,Random Forest+Logistic Regression+k-Nearest Neighbors (k-NN),direct+indirect,predictive,numeric,semi-structured,semi-stable,low+medium,Multi-site-National,Low,100,2,4394000,2.54
Avangrid,Gaussian Mixture Model (GMM)+Principal Component Analysis (PCA)+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Department,Very-High,1,2,3162000,2.05
AES Corporation,k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Department,Moderate,1,2,1638000,1.87
Verdigris Technologies,Isolation Forest+k-Means Clustering+Linear Regression,direct+indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low,Department,Moderate,1,2,1638000,2.07
Enbridge,Gaussian Mixture Model (GMM)+Isolation Forest+Principal Component Analysis (PCA),indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Department,Moderate,1,2,1638000,2.05
Vistra Corp.,Isolation Forest+k-Means Clustering+ARIMA,direct+indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low,Department,Moderate,1,2,1638000,2.07
Leap,Gaussian Mixture Model (GMM)+Principal Component Analysis (PCA)+k-Nearest Neighbors (k-NN),indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low+medium,Department,Moderate,1,2,1638000,2.34
Duolingo,k-Means Clustering+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low,Department,Moderate,1,2,1638000,1.87
Content Technologies Inc. (CTI),DQN (Deep Q-Network)+Google AutoML+Autoencoder,auto,automation+descriptive+predictive,image,semi-structured,semi-stable,high+medium,Proof of Concept,Moderate,0.2,2,1534000,3.32
Squirrel AI,Gaussian Mixture Model (GMM)+Principal Component Analysis (PCA)+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Proof of Concept,Moderate,1,2,1179000,2.05
Gradescope,Autoencoder+Gaussian Mixture Model (GMM)+Neural Radiance Fields (NeRF),auto+indirect,descriptive,image+numeric,semi-structured,semi-stable,high+medium,Proof of Concept,Low,100,2,2096000,2.62
AltSchool,Isolation Forest+k-Means Clustering,indirect,descriptive,numeric,semi-structured,semi-stable,low,Proof of Concept,Moderate,1,2,1179000,1.87
Knewton,Gaussian Mixture Model (GMM)+Isolation Forest+Principal Component Analysis (PCA),indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Enterprise,Moderate,1,2,2276000,2.05
Jill Watson (Georgia Tech),Random Forest+Principal Component Analysis (PCA)+Gaussian Mixture Model (GMM),indirect,descriptive+predictive,numeric,semi-structured,semi-stable,medium,Proof of Concept,Moderate,0.2,1,937000,2.52
IBM Watson Education,Isolation Forest+k-Means Clustering+Decision Tree,direct+indirect,descriptive+predictive,numeric,semi-structured,semi-stable,low,Department,Moderate,1,2,1638000,2.07
,,,,,,,,,,,,,
